packet.num,eth.type,frame.len,frame.time_epoch,frame.time_delta,ip.version,ip.hdr_len,ip.dsfield.dscp,ip.len,ip.id,ip.flags,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,ip.flags.mf,ip.frag_offset.1,ip.fragment.overlap,tcp.flags.ack,tcp.analysis.retransmission,tcp.flags.push,tcp.flags.syn,tcp.flags.fin,tcp.flags.urg,SMC1,SMC2,SMC3,SDC1,SDC2,SDC3,DMC1,DMC2,DMC3,DDC1,DDC2,DDC3
397602,2048,74,1276370652.2286391,0.002889,4,5,0,60,43420,2,,44,6,47879,80.66.211.179,192.168.5.122,55107.0,22.0,,,,,0,0,,0.0,,0.0,1.0,0.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
397621,2048,66,1276370652.388365,0.040899,4,5,0,52,43421,2,,44,6,47886,80.66.211.179,192.168.5.122,55107.0,22.0,,,,,0,0,,1.0,,0.0,0.0,0.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
397623,2048,66,1276370652.393214,0.001059,4,5,0,52,43422,2,,44,6,47885,80.66.211.179,192.168.5.122,55107.0,22.0,,,,,0,0,,1.0,,0.0,0.0,1.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
397630,2048,60,1276370653.029309,0.006781,4,5,0,40,63991,2,,44,6,27328,80.66.211.179,192.168.5.122,55107.0,22.0,,,,,0,0,,0.0,,0.0,0.0,0.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
412380,2048,74,1276370862.2972791,0.002575,4,5,0,60,53626,2,,44,6,37673,80.66.211.179,192.168.5.122,51897.0,22.0,,,,,0,0,,0.0,,0.0,1.0,0.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
415376,2048,78,1276370872.276213,0.003055,4,5,0,64,53629,2,,44,6,37666,80.66.211.179,192.168.5.122,51897.0,22.0,,,,,0,0,,1.0,,0.0,0.0,0.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
415397,2048,66,1276370872.457624,0.002773,4,5,0,52,53630,2,,44,6,37677,80.66.211.179,192.168.5.122,51897.0,22.0,,,,,0,0,,1.0,,0.0,0.0,0.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
415398,2048,87,1276370872.4591582,0.001534,4,5,0,73,53631,2,,44,6,37655,80.66.211.179,192.168.5.122,51897.0,22.0,,,,,0,0,,1.0,,1.0,0.0,0.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
415438,2048,218,1276370872.658681,0.016347,4,5,0,204,53632,2,,44,6,37523,80.66.211.179,192.168.5.122,51897.0,22.0,,,,,0,0,,1.0,,1.0,0.0,0.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
415557,2048,210,1276370873.436716,3.5e-05,4,5,0,196,53634,2,,44,6,37529,80.66.211.179,192.168.5.122,51897.0,22.0,,,,,0,0,,1.0,,1.0,0.0,0.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
415583,2048,82,1276370873.630723,7e-06,4,5,0,68,53635,2,,44,6,37656,80.66.211.179,192.168.5.122,51897.0,22.0,,,,,0,0,,1.0,,1.0,0.0,0.0,0.0,0,1,2,114,171,85,0,224,177,135,245,148
